Date,Store Name,City,Item Description,Bottles Sold,Sale (Dollars)
01/03/2022,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,CEDAR RAPIDS,JOSE CUERVO ESPECIAL REPOSADO MINI,12,$207.00
01/03/2022,"SPIRITS, STOGIES AND STUFF",HOLSTEIN,CAPTAIN MORGAN CHERRY VANILLA,3,$40.77
01/03/2022,CASEY'S GENERAL STORE #2824 / WDM,WEST DES MOINES,MALIBU COCONUT,6,$76.44
01/03/2022,HY-VEE  /  JEFFERSON,JEFFERSON,SOUTHERN COMFORT,12,$186.00
01/03/2022,LICKETY LIQUOR,DES MOINES,SVEDKA STRAWBERRY LEMONADE,3,$36.00
01/03/2022,TIPTON FAMILY FOODS,TIPTON,PARAMOUNT CREME DE CACAO WHITE,3,$22.50
01/03/2022,CASEY'S GENERAL STORE #2628 / LAKE CITY,LAKE CITY,NEW AMSTERDAM 80PRF,3,$33.75
01/03/2022,KUM & GO #438 / MUSCATINE,MUSCATINE,NEW AMSTERDAM 80PRF,2,$10.50
01/03/2022,WAL-MART 1509 / MAQUOKETA,MAQUOKETA,TITOS HANDMADE VODKA,6,$171.00
01/03/2022,CASEY'S GENERAL STORE #1446 / LISBON,LISBON,FIREBALL CINNAMON WHISKEY PARTY COOLER,6,$77.40
01/03/2022,HY-VEE WINE AND SPIRITS / STORM LAKE,STORM LAKE,CAPTAIN MORGAN PINEAPPLE,2,$24.78
01/03/2022,HY-VEE #4 / WDM,WEST DES MOINES,99 PEPPERMINT MINI,10,$77.40
01/03/2022,FAREWAY STORES #193 / TIFFIN,TIFFIN,CHI-CHI'S STRAWBERRY MARGARITA,6,$58.50
01/03/2022,LIQUOR TOBACCO & GAS,DUBUQUE,1800 ULTIMATE MANGO MARGARITA PET,6,$90.36
01/03/2022,TARGET STORE T-0069 / WDM,WEST DES MOINES,ADMIRAL NELSON SPICED,6,$103.98
01/04/2022,HY-VEE FOOD STORE / GRINNELL,GRINNELL,MAUI BLUE HAWAIIAN SCHNAPPS,1,$6.81
01/04/2022,HY-VEE FOOD STORE / INDIANOLA,INDIANOLA,FIREBALL CINNAMON WHISKEY,6,$138.00
01/04/2022,HY-VEE FOOD STORE #4 / SIOUX CITY,SIOUX CITY,JACK DANIELS OLD #7 BLACK LABEL MINI,3,$51.75
01/04/2022,TOBACCO HUT #11 / SIOUX CITY,SIOUX CITY,CROWN ROYAL,5,$124.45
01/05/2022,HY-VEE # 6/ DES MOINES,DES MOINES,JOSE CUERVO AUTHENTIC PINK LEMONADE MARGARITA,6,$41.76
01/05/2022,HY-VEE  #2 / AMES,AMES,BLACK VELVET,12,$188.16
01/05/2022,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,CEDAR RAPIDS,ON THE ROCKS COCKTAILS CRUZAN MAI TAI,12,$117.00
01/05/2022,THE LIQUOR STOP LLC,DAVENPORT,CROWN ROYAL,1,$49.49
01/05/2022,HY-VEE  #2 / AMES,AMES,TANQUERAY GIN,12,$279.00
01/05/2022,TARGET STORE T-1170 / AMES,AMES,WINDSOR CANADIAN PET,6,$90.00
01/05/2022,TARGET STORE T-2454 / COUNCIL BLUFFS,COUNCIL BLUFFS,BLACK VELVET TOASTED CARAMEL,12,$94.20
01/05/2022,WAL-MART 2714 / SPENCER,SPENCER,CAPTAIN MORGAN ORIGINAL SPICED MINI,12,$86.40
01/05/2022,TARGET STORE T-2454 / COUNCIL BLUFFS,COUNCIL BLUFFS,ABSOLUT LIME,12,$179.88
01/05/2022,KUM & GO #518 / ANKENY,ANKENY,GREY GOOSE,1,$12.75
01/05/2022,SUPER SAVER IV,COUNCIL BLUFFS,ARDBEG 10YO MONSTERS OF SMOKE VAP,1,$37.49
01/05/2022,HY-VEE FOOD STORE #1636 / SPENCER,SPENCER,DEEP EDDY RUBY RED GRAPEFRUIT MINI,2,$12.64
01/05/2022,JEFF'S FOODS,MARCUS,UV BLUE RASPBERRY,2,$22.50
01/05/2022,HY-VEE #2 / CORALVILLE,CORALVILLE,EL MAYOR ANEJO,6,$144.00
01/06/2022,HY-VEE FOOD STORE / ALTOONA,ALTOONA,BEAMS 8 STAR BL WHISKEY,6,$72.00
01/06/2022,HY-VEE FOOD STORE / SIOUX CITY,SIOUX CITY,CASAMIGOS ANEJO,6,$283.50
01/06/2022,FAREWAY STORES #190 / CEDAR FALLS,CEDAR FALLS,FOUR ROSES SMALL BATCH SELECT,6,$270.00
01/06/2022,KUM & GO #0731 / DES MOINES,DES MOINES,FIREBALL CINNAMON WHISKEY MINI DISPENSER,2,$77.40
01/06/2022,WAL-MART 1361 / SIOUX CITY,SIOUX CITY,JACK DANIELS OLD #7 BLACK LABEL,6,$285.48
01/06/2022,WILKIE LIQUORS,MOUNT VERNON,BUFFALO TRACE BOURBON CREAM,1,$15.60
01/07/2022,FAREWAY STORES #048 / CLARINDA,CLARINDA,HAWKEYE VODKA,12,$60.12
01/07/2022,"SMOKE SHOP, THE",DES MOINES,PAUL MASSON GRANDE AMBER BRANDY VS,24,$115.92
01/07/2022,WORLD LIQUOR & TOBACCO + VAPORS,BOONE,CROWN ROYAL REGAL APPLE,5,$145.45
01/07/2022,WAL-MART 3150 / COUNCIL BLUFFS,COUNCIL BLUFFS,SMIRNOFF 80PRF,6,$132.78
01/07/2022,CHARITON BP,CHARITON,CAPTAIN MORGAN ORIGINAL SPICED,12,$163.08
01/07/2022,SUPER QUICK 2 / HUBBELL,DES MOINES,CAPTAIN MORGAN CHERRY VANILLA,3,$40.77
01/07/2022,BUCKY'S EXPRESS #34 / COUNCIL BLUFFS,COUNCIL BLUFFS,SMIRNOFF 80PRF MINI,6,$67.26
01/07/2022,MEPO FOODS / MEDIAPOLIS,MEDIAPOLIS,AMARETTO E DOLCE,2,$10.02
01/07/2022,MEGA SAVER,COUNCIL BLUFFS,99 PINEAPPLE MINI,20,$154.80
01/07/2022,WAL-MART 3394 / ATLANTIC,ATLANTIC,HAWKEYE VODKA MINI,12,$74.40
01/07/2022,HY-VEE FOOD STORE / KNOXVILLE,KNOXVILLE,FRIS DANISH VODKA,6,$76.44
01/07/2022,KIMMES MANSON COUNTRY STORE #10,MANSON,TEMPLETON RYE 4YR,6,$162.84
01/07/2022,CASEY'S GENERAL STORE #1503 / TABOR,TABOR,MCCORMICK 80PRF VODKA PET,10,$27.00
01/07/2022,TEQUILA'S LIQUOR STORE,DES MOINES,BLACK VELVET,24,$110.64
01/10/2022,SAC CITY FOOD PRIDE,SAC CITY,BARTENDERS HOT SEX,4,$31.68
01/10/2022,LE CLAIRE GROCERY STORE,LE CLAIRE,SMIRNOFF PEACH LEMONADE MINI,1,$11.21
01/10/2022,BIG G FOOD STORE,MARENGO,UV BLUE RASPBERRY,2,$34.50
01/10/2022,HY-VEE FAST AND FRESH - DUBUQUE,DUBUQUE,BAILEYS ORIGINAL IRISH CREAM MINI,1,$44.70
01/10/2022,LEO1  /  CEDAR RAPIDS,CEDAR RAPIDS,KNOB CREEK,2,$63.00
01/10/2022,NORTHSIDE ONE STOP / HAMPTON,HAMPTON,CROWN ROYAL VANILLA,1,$49.49
01/11/2022,FAREWAY STORES #790 / HARLAN,HARLAN,BRADSHAW RYE,2,$72.52
01/11/2022,KWIK STOP 3 / WATERLOO,WATERLOO,RUMCHATA MINI,2,$26.62
01/11/2022,MAIN STREET SPIRITS / MAPLETON,MAPLETON,JAGERMEISTER LIQUEUR,3,$74.25
01/11/2022,PRIME MART / WATERLOO,WATERLOO,TITOS HANDMADE VODKA,12,$228.12
01/11/2022,KUM & GO #524/ CORALVILLE,CORALVILLE,GREY GOOSE,8,$102.00
01/11/2022,CASEY'S GENERAL STORE #2894 / INDIANOLA,INDIANOLA,FIREBALL CINNAMON WHISKEY,48,$180.00
01/11/2022,CASEY'S GENERAL STORE #2879 / WATERLOO,WATERLOO,BLUE OX VODKA,24,$68.40
01/11/2022,FAREWAY STORES #989 / WAUKEE,WAUKEE,ADMIRAL NELSON SPICED,6,$103.98
01/11/2022,KUM & GO #524/ CORALVILLE,CORALVILLE,FIREBALL CINNAMON WHISKEY MINI SLEEVE,12,$77.40
01/11/2022,KUM & GO #524/ CORALVILLE,CORALVILLE,ABSOLUT SWEDISH VODKA 80PRF,10,$149.90
01/12/2022,CASEY'S GENERAL STORE #1546 / FREMONT,FREMONT,BLACK VELVET,24,$110.64
01/12/2022,OKOBOJI AVENUE LIQUOR,MILFORD,BACARDI LIMON,6,$135.00
01/12/2022,WAL-MART 3762 / WDM,WEST DES MOINES,BUFFALO TRACE BOURBON CREAM,1,$15.60
01/12/2022,HY-VEE FOOD STORE / KEOKUK,KEOKUK,CHRISTIAN BROS BRANDY,12,$108.00
01/12/2022,KUM & GO #292 / ANKENY,ANKENY,MALIBU COCONUT,6,$76.44
01/12/2022,CASEY'S GENERAL STORE #1548 / ANKENY,ANKENY,FIREBALL CINNAMON WHISKEY,6,$138.00
01/12/2022,HY-VEE # 6/ DES MOINES,DES MOINES,IOWISH CREAM SALTED CARAMEL,6,$91.56
01/12/2022,WAL-MART 1431 / KEOKUK,KEOKUK,RUMCHATA COLD BREW,6,$85.50
01/12/2022,THE LIQUOR STOP LLC,DAVENPORT,FIREBALL CINNAMON WHISKEY,12,$162.00
01/12/2022,THE LIQUOR STOP LLC,DAVENPORT,JACK DANIELS OLD #7 BLACK LABEL FLAT,24,$279.12
01/12/2022,FORBES LIQUOR LOCKER / REMI,SPIRIT LAKE,AMARETTO E DOLCE,10,$50.10
01/12/2022,HY-VEE WINE & SPIRITS #2 / DAVENPORT,DAVENPORT,FIVE STAR,12,$79.20
01/12/2022,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,CEDAR RAPIDS,BLUE OX VODKA,12,$61.44
01/12/2022,SITE FOOD MART,KEOKUK,NEW AMSTERDAM 80PRF,3,$33.75
01/12/2022,HY-VEE FOOD STORE / CORALVILLE,CORALVILLE,FIVE STAR,5,$15.70
01/13/2022,NORTHSIDE LIQUOR AND GROCERY / MASON CITY,MASON CITY,CROWN ROYAL NORTHERN HARVEST RYE,12,$298.68
01/13/2022,SUPER QUICK MART / WINDSOR HEIGHTS,WINDSOR HEIGHTS,BAILEYS ORIGINAL IRISH CREAM,4,$125.96
01/13/2022,HILLSTREET NEWS AND TOBACCO,CEDAR FALLS,DR MCGILLICUDDYS MENTHOLMINT,12,$198.00
01/13/2022,HY-VEE FOOD STORE / ALTOONA,ALTOONA,HORNITOS LIME SHOT,12,$243.00
01/13/2022,PRIME MART - CEDAR FALLS,CEDAR FALLS,OLE SMOKY SALTY CARAMEL WHISKEY,3,$49.50
01/13/2022,HY-VEE FOOD STORE #1 / WATERLOO,WATERLOO,HAWKEYE VODKA,6,$64.56
01/14/2022,CASEY'S GENERAL STORE #3645 / LONE TREE,LONETREE,CAPTAIN MORGAN ORIGINAL SPICED,12,$163.08
01/14/2022,CASEY'S GENERAL STORE #2342 / BURLINGTON,BURLINGTON,JACK DANIELS OLD #7 BLACK LABEL,12,$280.32
01/14/2022,HY-VEE FOOD STORE / DUBUQUE,DUBUQUE,MAKERS MARK,12,$405.00
01/14/2022,HIWAY 20 LIQUOR AND TOBACCO / FORT DODGE,FORT DODGE,UV RED CHERRY,2,$34.50
01/14/2022,KWIK SPIRITS #1191 / FORT DODGE,FORT DODGE,CAPTAIN MORGAN ORIGINAL SPICED PET,48,$198.24
01/14/2022,ROYAL FOOD & LIQUOR / DES MOINES,DES MOINES,PAUL MASSON GRANDE AMBER BRANDY VS,48,$72.00
01/14/2022,CASEY'S GENERAL STORE #2594 / WALKER,WALKER,EVAN WILLIAMS BLACK,12,$153.00
01/17/2022,HY-VEE #3 / BDI / DES MOINES,DES MOINES,RUMCHATA,12,$306.00
01/17/2022,THE COOLER,CEDAR RAPIDS,MCCORMICK 80PRF VODKA PET,24,$64.80
01/17/2022,SAC LIQUOR STORE,SAC CITY,TANQUERAY GIN,2,$46.50
01/17/2022,KIMMES ROCKWELL CITY COUNTRY STORE #,ROCKWELL CITY,BLACK VELVET,24,$376.32
01/17/2022,BRADY MART FOOD & LIQUOR,DAVENPORT,JACK DANIELS TENNESSEE APPLE MINI,6,$103.50
01/17/2022,HY-VEE WINE AND SPIRITS / STORM LAKE,STORM LAKE,CRUZAN MANGO,12,$126.00
01/17/2022,KWIK STOP C-STORES / DUBUQUE,DUBUQUE,CIROC APPLE,4,$30.00
01/17/2022,HY-VEE WINE AND SPIRITS / IOWA CITY,IOWA CITY,THREE OLIVES GRAPE,12,$179.28
01/18/2022,WAL-MART 1241 / DAVENPORT,DAVENPORT,SEAGRAMS 7 CROWN,6,$116.64
01/18/2022,HOMETOWN FOODS,WATERLOO,HAWKEYE VODKA,12,$72.96
01/18/2022,HY-VEE / CHARLES CITY,CHARLES CITY,99 ROOT BEER MINI,10,$77.40
01/18/2022,HY-VEE WINE AND SPIRITS / BETTENDORF,BETTENDORF,SEAGRAMS EXTRA SMOOTH VODKA,6,$90.00
01/18/2022,HY-VEE FOOD STORE / URBANDALE,URBANDALE,GILBEYS GIN,12,$188.88
01/18/2022,ANTHON MINI MART,ANTHON,BLACK VELVET RESERVE,6,$116.94
01/18/2022,"CENTRAL MART I, LLC.",SIOUX CITY,RICH & RARE PEACH,2,$15.00
01/18/2022,CASEY'S GENERAL STORE #1416 / NEW HAMPTON,NEW HAMPTON,JIM BEAM,24,$201.60
01/18/2022,"CENTRAL CITY LIQUOR, INC.",DES MOINES,BACARDI GOLD,6,$135.00
01/18/2022,WALGREENS #00910 / SIOUX CITY,SIOUX CITY,HAWKEYE VODKA,12,$60.12
01/18/2022,OELWEIN LIQUOR TOBACCO & GAS / OELWEIN,OELWEIN,REMY MARTIN VSOP FLASK,12,$225.36
01/18/2022,KWIK STOP 4,WATERLOO,AVION SILVER,12,$197.88
01/18/2022,HY-VEE FOOD STORE / URBANDALE,URBANDALE,DR MCGILLICUDDYS APPLE PIE,24,$311.76
01/19/2022,W-MART,DAVENPORT,FIVE O'CLOCK VODKA,12,$60.72
01/19/2022,HY-VEE FOOD STORE #1 / AMES,AMES,GLENFIDDICH 14YR,2,$87.00
01/19/2022,TOBACCO SHOP / ARNOLDS PARK,ARNOLDS PARK,BOMBAY BRAMBLE,1,$20.25
01/19/2022,NEIGHBORHOOD LIQUOR AND SMOKES / AMES,AMES,DEEP EDDY LEMON,12,$153.00
01/19/2022,SAM'S CLUB 6344 / WINDSOR HEIGHTS,WINDSOR HEIGHTS,HORNITOS GOLD,12,$270.00
01/19/2022,HY-VEE WINE AND SPIRITS / IOWA CITY,IOWA CITY,THE BITTER TRUTH VIOLET LIQUEUR,6,$148.50
01/19/2022,HY-VEE DRUGSTORE / IOWA CITY,IOWA CITY,GRANGALA TRIPLE ORANGE LIQUEUR,2,$33.06
01/19/2022,BROTHER'S MARKET WINE AND SPIRITS,SIGOURNEY,1800 SILVER W/TACO HOLDER,1,$23.97
01/19/2022,BROTHER'S MARKET WINE AND SPIRITS,SIGOURNEY,TORRES 10 BRANDY,1,$15.20
01/20/2022,B AND B WEST,CEDAR FALLS,BUFFALO TRACE BOURBON,12,$234.00
01/20/2022,WILKIE LIQUORS,MOUNT VERNON,GRAND MARNIER CORDON ROUGE,6,$229.98
01/20/2022,CASEY'S GENERAL STORE #2842 / HUXLEY,HUXLEY,ADMIRAL NELSON SPICED,12,$108.00
01/20/2022,SUPER QUICK MART / WINDSOR HEIGHTS,WINDSOR HEIGHTS,JACK DANIELS TENNESSEE FIRE MINI,1,$17.25
01/20/2022,CASEY'S GENERAL STORE #3333 / PLEASANT HILL,PLEASANT HILL,HAWKEYE VODKA,6,$16.74
01/20/2022,TOBACCO OUTLET PLUS #560 / CEDAR RAPIDS,CEDAR RAPIDS,CROWN ROYAL,24,$288.00
01/20/2022,WILKIE LIQUORS,MOUNT VERNON,BLANTONS BOURBON,6,$258.78
01/20/2022,CASEY'S GENERAL STORE #2816 / JOHNSTON,JOHNSTON,BACARDI SUPERIOR MINI,1,$8.31
01/20/2022,CENTRAL CITY 2,DES MOINES,THREE OLIVES CHERRY,60,$896.40
01/20/2022,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,CEDAR RAPIDS,SEAGRAMS VO CANADIAN WHISKEY PET,12,$188.16
01/21/2022,MONTE SPIRITS,MONTEZUMA,TITOS HANDMADE VODKA,12,$228.12
01/21/2022,BROTHERS MARKET / BLOOMFIELD,BLOOMFIELD,CHI-CHI'S MARGARITA,3,$29.25
01/21/2022,FAREWAY STORES #508 / FORT DODGE,FORT DODGE,FIREBALL CINNAMON WHISKEY,24,$192.00
01/21/2022,FAREWAY STORES #062 / WAUKON,WAUKON,BACARDI LIMON,4,$49.56
01/21/2022,CASH SAVER #34 / DES MOINES,DES MOINES,BUFFALO TRACE BOURBON,12,$234.00
01/21/2022,CASEY'S GENERAL STORE #2531 / ELDRIDGE,ELDRIDGE,BLACK VELVET APPLE MINI,1,$11.25
01/24/2022,KELLOGG COUNTRY STORE,KELLOGG,SEAGRAMS 7 CROWN,2,$22.50
01/24/2022,LAKE VIEW REDEMPTION & LIQUOR STORE,LAKE VIEW,CROWN ROYAL REGAL APPLE,6,$296.94
01/24/2022,CASEY'S GENERAL STORE #2533 / MARENGO,MARENGO,FIREBALL CINNAMON WHISKEY MINI SLEEVE,96,$619.20
01/24/2022,SAC CITY FOOD PRIDE,SAC CITY,WINDSOR CANADIAN PET,2,$30.00
01/24/2022,CENTRAL CITY 2,DES MOINES,DEKUYPER WATERMELON PUCKER PET,60,$708.60
01/25/2022,CASEY'S GENERAL STORE #2821 / GLADBROOK,GLADBROOK,PARAMOUNT PEPPERMINT SCHNAPPS,6,$36.00
01/25/2022,GM MART / IOWA CITY,IOWA CITY,DON JULIO REPOSADO,6,$292.44
01/25/2022,SUPER MART / OELWEIN,OELWEIN,TWISTED SHOTZ TRADITIONAL PARTY PACK 3.0,1,$85.95
01/25/2022,CASEY'S GENERAL STORE #2779 / CORALVILLE,CORALVILLE,BLUE OX VODKA,24,$68.40
01/25/2022,HY-VEE FOOD STORE #1 / WDM,WEST DES MOINES,FIREBALL CINNAMON WHISKEY PET,24,$323.28
01/25/2022,LIQUOR LOCKER,ROCK RAPIDS,CROWN ROYAL VANILLA,3,$74.67
01/25/2022,HY-VEE FOOD STORE / MARSHALLTOWN,MARSHALLTOWN,PARAMOUNT SLOE GIN,6,$48.78
01/25/2022,MAIN STREET SPIRITS / MAPLETON,MAPLETON,WINDSOR CANADIAN PET,6,$90.00
01/26/2022,RIVERSIDE LIQUOR 2 / DAVENPORT,DAVENPORT,SMIRNOFF RASPBERRY,4,$49.52
01/27/2022,HY-VEE FOOD STORE / MOUNT PLEASANT,MOUNT PLEASANT,HAWKEYE VODKA,12,$129.12
01/27/2022,LAKE LIQUORS WINE AND SPIRITS,CLEAR LAKE,JOSE CUERVO AUTHENTIC LIGHT LIME MARGARITA,6,$78.66
01/27/2022,HY-VEE FOOD STORE #3 / SIOUX CITY,SIOUX CITY,99 ROOT BEER MINI,2,$15.48
01/27/2022,HY-VEE FOOD STORE / FAIRFIELD,FAIRFIELD,MR BOSTON BLACKBERRY BRANDY,6,$40.50
01/27/2022,HY-VEE #3 / BDI / DES MOINES,DES MOINES,FERNET BRANCA,6,$167.58
01/27/2022,HY-VEE DRUGSTORE / OTTUMWA,OTTUMWA,FIREBALL CINNAMON WHISKEY,6,$22.50
01/27/2022,HY-VEE FOOD STORE #3 / SIOUX CITY,SIOUX CITY,NORTH FOREST KREME MAPLE BOURBON PECAN,6,$138.54
01/27/2022,WALGREENS #03773 / URBANDALE,URBANDALE,CANADIAN LTD WHISKY,6,$82.26
01/27/2022,CENTRAL CITY 2,DES MOINES,JAMESON,24,$611.76
01/27/2022,TOBACCO OUTLET PLUS #560 / CEDAR RAPIDS,CEDAR RAPIDS,JAMESON,12,$305.88
01/27/2022,HAPPY'S WINE & SPIRITS,CEDAR FALLS,KINKY FRUIT PUNCH,2,$30.00
01/27/2022,HY-VEE FOOD STORE #1 / MASON CITY,MASON CITY,DEKUYPER RAGIN' ROOT BEER,2,$19.50
01/28/2022,FAREWAY STORES #384 / BOONE,BOONE,CHI-CHI'S MARGARITA,6,$58.50
01/28/2022,HY-VEE #2 / DUBUQUE,DUBUQUE,MONKEY SHOULDER,6,$171.00
01/28/2022,KUM & GO #28 / NORWALK,NORWALK,99 BANANAS MINI,2,$15.48
01/28/2022,HY-VEE FOOD STORE #1 / OTTUMWA,OTTUMWA,REDBREAST 12YR,6,$314.82
01/28/2022,KUM & GO #4110 / GUTHRIE DM,DES MOINES,JIM BEAM MINI,3,$31.50
01/28/2022,FAREWAY STORES #983 / GRIMES,GRIMES,ELIJAH CRAIG  BARREL PROOF,1,$52.50
01/28/2022,EHLINGER'S VINTON EXPRESS,VINTON,BLACK VELVET TOASTED CARAMEL,12,$94.20
01/28/2022,HY-VEE / DECORAH,DECORAH,WOODFORD RESERVE,12,$404.88
01/28/2022,HY-VEE FOOD STORE / CHARITON,CHARITON,JIM BEAM,12,$198.00
01/28/2022,FAREWAY STORES #384 / BOONE,BOONE,BACARDI SUPERIOR,12,$171.00
01/28/2022,"SMOKE SHOP, THE",DES MOINES,BACARDI SUPERIOR,5,$33.75
01/28/2022,CASEY'S GENERAL STORE #3032 / CHARITON,CHARITON,FIREBALL CINNAMON WHISKEY,12,$162.00
01/31/2022,THE SECRET CELLAR,SHUEYVILLE,APPLETON ESTATE SIGNATURE BLEND,1,$16.50
01/31/2022,CENTRAL CITY 2,DES MOINES,TRES GENERACIONES ANEJO,6,$225.00
01/31/2022,SA PETRO MART,WEST DES MOINES,OLE SMOKY MOONSHINE CHOCOLATE CHERRIES,3,$56.25
01/31/2022,HY-VEE FAST & FRESH / DAVENPORT,DAVENPORT,ROW VODKA,12,$113.40
01/31/2022,BENZ DISTRIBUTING,CEDAR RAPIDS,SMIRNOFF CITRUS,12,$166.56
01/31/2022,218 FUEL EXPRESS,FLOYD,BLUE OX VODKA,3,$19.80
01/31/2022,BREW OIL #33 / STORM LAKE,STORM LAKE,HENNESSY VS,6,$449.94
02/01/2022,FAREWAY STORES #792 / TOLEDO,TOLEDO,PARAMOUNT GOLD RUM,2,$22.50
02/01/2022,HUBERS STORE,FORT ATKINSON,SUNNY BROOK BLEND WHISKEY,4,$48.00
02/01/2022,NEW STAR LIQUOR / W 4TH S / WATERLOO,WATERLOO,TEREMANA BLANCO TEQUILA,12,$144.36
02/01/2022,FAREWAY STORES #922 / NEW HAMPTON,NEW HAMPTON,NEW AMSTERDAM GRAPEFRUIT,2,$22.50
02/01/2022,LIQUOR LOCKER,ROCK RAPIDS,JACK DANIELS OLD #7 BLACK LABEL,1,$47.58
02/01/2022,FOOD LAND SUPER MARKETS,MISSOURI VALLEY,KETEL ONE,1,$30.99
02/01/2022,CASEY'S GENERAL STORE #1706 / WINTERSET,WINTERSET,JOSE CUERVO AUTHENTIC LIME LIGHT,2,$13.92
02/01/2022,WAL-MART 0581 / MARSHALLTOWN,MARSHALLTOWN,FIVE O'CLOCK VODKA,12,$60.72
02/01/2022,CASEY'S GENERAL STORE #2427 / WATERLOO,WATERLOO,PATRON SILVER,6,$252.00
02/02/2022,HY-VEE FOOD STORE #1 / AMES,AMES,BARTON VODKA,12,$71.52
02/02/2022,NEIGHBORHOOD LIQUOR AND SMOKES / AMES,AMES,GREY GOOSE,3,$38.25
02/02/2022,HY-VEE FOOD STORE #4 / SIOUX CITY,SIOUX CITY,GLENLIVET 12YR,6,$449.76
02/02/2022,QUICK STOP / CEDAR RAPIDS,CEDAR RAPIDS,BACARDI LIMON,1,$22.50
02/02/2022,HY-VEE FOOD STORE #5 / DES MOINES,DES MOINES,ELIJAH CRAIG  BARREL PROOF,1,$52.50
02/02/2022,CELTICS BEVERAGE COMPANY,EMMETSBURG,KESSLER BLEND WHISKEY,2,$33.00
02/02/2022,HY-VEE FOOD STORE #1636 / SPENCER,SPENCER,UV CAKE MINI,2,$13.80
02/02/2022,WALGREENS #12393 / CEDAR RAPIDS,CEDAR RAPIDS,EVAN WILLIAMS BLACK,2,$25.50
02/02/2022,HY-VEE #4 / WDM,WEST DES MOINES,DEKUYPER 03,6,$96.06
02/02/2022,HY-VEE #2 / CORALVILLE,CORALVILLE,NEW AMSTERDAM 80PRF,2,$5.98
02/02/2022,TOBACCO HUT #18 / COUNCIL BLUFFS,COUNCIL BLUFFS,CAPTAIN MORGAN SLICED APPLE MINI,6,$43.20
02/02/2022,WALGREENS #12393 / CEDAR RAPIDS,CEDAR RAPIDS,PINNACLE,6,$90.00
02/02/2022,HY-VEE FOOD STORE #2 / IOWA CITY,IOWA CITY,FIVE O'CLOCK GIN,6,$66.00
02/02/2022,FCA KINGSLEY C-STORE,KINGSLEY,PARAMOUNT BLUE CURACAO,12,$90.00
02/02/2022,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,LAKE PARK,BLACK VELVET,6,$94.08
02/02/2022,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,SPIRIT LAKE,CAPTAIN MORGAN ORIGINAL SPICED PET,4,$16.52
02/02/2022,CASEY'S GENERAL STORE #50 / MOVILLE,MOVILLE,JOSE CUERVO AUTHENTIC ORANGE PINEAPPLE MARGARITA,2,$26.22
02/02/2022,HY-VEE WINE AND SPIRITS / PELLA,PELLA,ST GERMAIN,6,$180.00
02/02/2022,OKOBOJI AVENUE LIQUOR,MILFORD,TORTILLA GOLD DSS,240,"$1,747.20"
02/03/2022,HY-VEE FOOD STORE / CEDAR FALLS,CEDAR FALLS,GILBEYS GIN,6,$94.44
02/03/2022,HY-VEE FOOD STORE #3 / WATERLOO,WATERLOO,SMIRNOFF BLUEBERRY,2,$24.76
02/03/2022,HY-VEE FOOD STORE / KEOKUK,KEOKUK,WOODFORD RESERVE,3,$101.22
02/03/2022,WAL-MART 2764 / ALTOONA,ALTOONA,KETEL ONE BOTANICAL GRAPEFRUIT & ROSE,12,$204.00
02/03/2022,WAL-MART 2764 / ALTOONA,ALTOONA,MARGARITAVILLE SILVER TEQUILA,12,$135.24
02/03/2022,KUM & GO #0731 / DES MOINES,DES MOINES,FIREBALL CINNAMON WHISKEY,24,$192.00
02/03/2022,MOD / FORT MADISON,FORT MADISON,RUSSELLS RESERVE 10YR,1,$30.00
02/03/2022,GARNER FOODS / FT MADISON,FORT MADISON,FIREBALL CINNAMON WHISKEY,48,$180.00
02/03/2022,WAL-MART 1361 / SIOUX CITY,SIOUX CITY,BACARDI SUPERIOR,6,$135.00
02/03/2022,HY-VEE / WAVERLY,WAVERLY,BLACK VELVET TOASTED CARAMEL,120,"$1,881.60"
02/04/2022,HY-VEE FOOD STORE / DUBUQUE,DUBUQUE,KESSLER BLEND WHISKEY,12,$198.00
02/04/2022,WAL-MART 0646 / ANAMOSA,ANAMOSA,SMIRNOFF PEACH LEMONADE,48,$594.24
02/04/2022,FAREWAY STORES #462 / VINTON,VINTON,PARAMOUNT GOLD RUM,6,$67.50
02/04/2022,HY-VEE / GRIMES,GRIMES,TEMPLETON RYE 4YR,12,$325.68
02/04/2022,1ST STOP BEVERAGE SHOP,DES MOINES,CHI-CHI'S MARGARITA,6,$58.50
02/04/2022,YESWAY STORE #1037/ GRIMES,GRIMES,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,$216.00
02/04/2022,CASEY'S GENERAL STORE #1126 / WYOMING,WYOMING,SOUTHERN COMFORT,6,$116.76
02/04/2022,MEGA SAVER,COUNCIL BLUFFS,JACK DANIELS TENNESSEE HONEY,2,$46.72
02/04/2022,HY-VEE / DECORAH,DECORAH,FIVE O'CLOCK VODKA,12,$75.12
02/07/2022,HY-VEE WINE & SPIRITS / MUSCATINE,MUSCATINE,DEKUYPER LUSCIOUS PEACHTREE,3,$29.25
